"global_step","HR-PPO - _step","HR-PPO - _step__MIN","HR-PPO - _step__MAX","HR-PPO - regularize/tau_entropy","HR-PPO - regularize/tau_entropy__MIN","HR-PPO - regularize/tau_entropy__MAX","PPO - _step","PPO - _step__MIN","PPO - _step__MAX","PPO - regularize/tau_entropy","PPO - regularize/tau_entropy__MIN","PPO - regularize/tau_entropy__MAX"
"3357059","","","","","","","274","274","274","0.7970755100250244","0.7970755100250244","0.7970755100250244"
"3377093","286","286","286","0.3356373906135559","0.3356373906135559","0.3356373906135559","","","","","",""
"3387868","","","","","","","276","276","276","0.7877684235572815","0.7877684235572815","0.7877684235572815"
"3397174","288","288","288","0.2406308948993683","0.2406308948993683","0.2406308948993683","","","","","",""
"3412117","","","","","","","278","278","278","0.808465838432312","0.808465838432312","0.808465838432312"
"3423745","290","290","290","0.27071860432624817","0.27071860432624817","0.27071860432624817","","","","","",""
"3437272","","","","","","","280","280","280","0.8004955649375916","0.8004955649375916","0.8004955649375916"
"3448424","292","292","292","0.2345782071352005","0.2345782071352005","0.2345782071352005","","","","","",""
"3459897","","","","","","","282","282","282","0.8283515572547913","0.8283515572547913","0.8283515572547913"
"3474229","294","294","294","0.31020572781562805","0.31020572781562805","0.31020572781562805","","","","","",""
"3489538","","","","","","","284","284","284","0.7095837593078613","0.7095837593078613","0.7095837593078613"
"3500408","296","296","296","0.30160149931907654","0.30160149931907654","0.30160149931907654","","","","","",""
"3514628","","","","","","","286","286","286","0.7601504325866699","0.7601504325866699","0.7601504325866699"
"3520493","298","298","298","0.3289138078689575","0.3289138078689575","0.3289138078689575","","","","","",""
