"global_step","HR-PPO - _step","HR-PPO - _step__MIN","HR-PPO - _step__MAX","HR-PPO - regularize/kl_div","HR-PPO - regularize/kl_div__MIN","HR-PPO - regularize/kl_div__MAX","PPO - _step","PPO - _step__MIN","PPO - _step__MAX","PPO - regularize/kl_div","PPO - regularize/kl_div__MIN","PPO - regularize/kl_div__MAX"
"3066585","","","","","","","250","250","250","9.414764404296875","9.414764404296875","9.414764404296875"
"3084261","262","262","262","1.0842477083206177","1.0842477083206177","1.0842477083206177","","","","","",""
"3091868","","","","","","","252","252","252","9.477128028869629","9.477128028869629","9.477128028869629"
"3104791","264","264","264","1.1155606508255005","1.1155606508255005","1.1155606508255005","","","","","",""
"3116180","","","","","","","254","254","254","9.420816421508789","9.420816421508789","9.420816421508789"
"3125846","266","266","266","1.1490846872329712","1.1490846872329712","1.1490846872329712","","","","","",""
"3137564","","","","","","","256","256","256","9.823625564575195","9.823625564575195","9.823625564575195"
"3149225","268","268","268","1.1655535697937012","1.1655535697937012","1.1655535697937012","","","","","",""
"3168390","","","","","","","258","258","258","9.336352348327637","9.336352348327637","9.336352348327637"
"3172002","270","270","270","1.1927024126052856","1.1927024126052856","1.1927024126052856","","","","","",""
"3188056","","","","","","","260","260","260","9.450212478637695","9.450212478637695","9.450212478637695"
"3197381","272","272","272","1.1772034168243408","1.1772034168243408","1.1772034168243408","","","","","",""
"3214107","","","","","","","262","262","262","9.57236385345459","9.57236385345459","9.57236385345459"
"3223359","274","274","274","1.0875805616378784","1.0875805616378784","1.0875805616378784","","","","","",""
"3240134","","","","","","","264","264","264","9.658757209777832","9.658757209777832","9.658757209777832"
"3251476","276","276","276","1.0983811616897583","1.0983811616897583","1.0983811616897583","","","","","",""
"3261806","","","","","","","266","266","266","9.486324310302734","9.486324310302734","9.486324310302734"
"3278751","278","278","278","1.0623432397842407","1.0623432397842407","1.0623432397842407","","","","","",""
"3287689","","","","","","","268","268","268","9.649541854858398","9.649541854858398","9.649541854858398"
"3304992","280","280","280","1.0268328189849854","1.0268328189849854","1.0268328189849854","","","","","",""
"3312168","","","","","","","270","270","270","10.208316802978516","10.208316802978516","10.208316802978516"
"3328695","282","282","282","1.0202432870864868","1.0202432870864868","1.0202432870864868","","","","","",""
"3332488","","","","","","","272","272","272","9.781553268432617","9.781553268432617","9.781553268432617"
"3345756","284","284","284","1.1765666007995605","1.1765666007995605","1.1765666007995605","","","","","",""
"3357059","","","","","","","274","274","274","9.442280769348145","9.442280769348145","9.442280769348145"
"3377093","286","286","286","1.1376516819000244","1.1376516819000244","1.1376516819000244","","","","","",""
"3387868","","","","","","","276","276","276","9.905904769897461","9.905904769897461","9.905904769897461"
"3397174","288","288","288","0.9691048264503479","0.9691048264503479","0.9691048264503479","","","","","",""
"3412117","","","","","","","278","278","278","9.860076904296875","9.860076904296875","9.860076904296875"
"3423745","290","290","290","1.0907295942306519","1.0907295942306519","1.0907295942306519","","","","","",""
"3437272","","","","","","","280","280","280","10.163865089416504","10.163865089416504","10.163865089416504"
"3448424","292","292","292","1.0337454080581665","1.0337454080581665","1.0337454080581665","","","","","",""
"3459897","","","","","","","282","282","282","10.666650772094727","10.666650772094727","10.666650772094727"
"3474229","294","294","294","1.2097433805465698","1.2097433805465698","1.2097433805465698","","","","","",""
"3489538","","","","","","","284","284","284","10.263835906982422","10.263835906982422","10.263835906982422"
"3500408","296","296","296","1.08933424949646","1.08933424949646","1.08933424949646","","","","","",""
"3514628","","","","","","","286","286","286","10.321454048156738","10.321454048156738","10.321454048156738"
"3520493","298","298","298","1.3980705738067627","1.3980705738067627","1.3980705738067627","","","","","",""
"3538354","","","","","","","288","288","288","11.829547882080078","11.829547882080078","11.829547882080078"
"3545059","300","300","300","1.3473390340805054","1.3473390340805054","1.3473390340805054","","","","","",""
"3566046","","","","","","","290","290","290","10.485859870910645","10.485859870910645","10.485859870910645"
"3572573","302","302","302","1.0071815252304077","1.0071815252304077","1.0071815252304077","","","","","",""
